3/24,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Eric,2,1,2,1,4,2,1
29小黃鴨,4,3,0,0,4,3,3
小楓,2,1,3,0,5,1,5
Faker,2,2,4,0,6,2,2
柏暐,3,3,3,0,6,3,5
小瑜,1,1,0,0,1,1,1
小豪,1,1,2,0,3,1,1
強哥,0,0,1,0,1,0,0
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Keira,1,1,3,2,4,3,4
小齊,4,1,4,4,8,5,2
猴猴,4,1,4,4,8,5,2
小飛,4,0,4,4,8,4,4
秋瑩,2,0,0,0,2,0,0
3/24,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
lucy,2,0,0,0,2,0,1
羿珩,2,1,3,2,5,3,4
ben,2,0,0,0,2,0,1
小蘇,3,2,3,3,6,5,3
紅閎,2,0,0,0,2,0,2
蘇仔,2,1,4,3,6,4,2
小安,0,0,2,0,2,0,2
宜竫,1,0,1,1,2,1,1
joy,0,0,2,2,2,2,0
小姜,1,1,0,0,1,1,1
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
+0,3,3,2,0,5,3,3
阿斌,3,2,2,0,5,2,2
嘉宸,3,3,1,0,4,3,2
阿傑,1,0,4,2,5,2,3
小承,1,1,1,1,2,2,0
萱萱,1,0,1,1,2,1,0
貓咪,2,1,1,0,3,1,1
學長,1,0,3,0,4,0,2
3/24,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Tina,1,1,0,0,1,1,1
宇辰,3,1,1,1,4,2,1
阿發,2,1,0,0,2,1,1
小胖,3,2,2,0,5,2,2
阿B,1,0,0,0,1,0,1
小琪,0,0,1,1,1,1,0
皓皓,2,1,3,1,5,2,0
Stan,2,1,4,1,6,2,1
大毛,1,0,4,2,5,2,1
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Lin,1,0,1,1,2,1,1
怪頭,2,2,2,1,4,3,3
kelvin刺,2,1,1,0,3,1,2
david,2,1,4,3,6,4,4
美美,1,1,1,0,2,1,1
小耿,3,2,3,2,6,4,4
范姜姐,1,1,1,0,2,1,2
浩子,1,0,0,0,1,0,1
超哥,1,0,1,1,2,1,2
石頭,1,0,1,1,2,1,2
3/24,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
蘇蘇,1,1,3,2,4,3,3
光頭,2,1,2,2,4,3,3
阿淦,4,3,3,3,7,6,1
老丹,2,1,4,4,6,5,3
阿倫,3,3,3,3,6,6,2
小芬,3,3,0,0,3,3,1
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
念念,1,0,1,1,2,1,1
Terry,3,1,0,0,3,1,1
Mo,3,1,0,0,3,1,3
Kevin,3,1,0,0,3,1,1
小虎,1,0,2,0,3,0,2
小劉,1,0,2,0,3,0,2
老師,1,0,2,0,3,0,1
祐祐,0,0,3,0,3,0,2
阿翰,0,0,3,0,3,0,2
阿福,2,0,2,0,4,0,2
3/24,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
隼隼,2,1,0,0,2,1,1
Ace,2,0,2,1,4,1,0
華華,4,4,4,2,8,6,3
小孟,3,2,3,1,6,3,1
乳來,2,2,3,2,5,4,1
承翰,1,1,2,1,3,2,0
小建,1,1,1,1,2,2,0
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
宗燁,1,0,2,0,3,0,1
小傅,2,2,2,1,4,3,4
阿朋,1,0,2,0,3,0,1
小魚,2,1,2,1,4,2,3
阿肥,2,0,1,1,3,1,3
冠宇,3,1,0,0,3,1,3
歪歪,1,0,1,1,2,1,2
亮亮,0,0,2,1,2,1,2
克林,1,0,2,2,3,2,3
柯柯,2,0,1,0,3,0,2
3/24,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
大瀚,2,1,3,1,5,2,2
藍鳥,2,2,2,0,4,2,2
樂源小宇,4,2,2,1,6,3,5
小薩,2,0,3,0,5,0,2
大頭,3,1,2,0,5,1,2
Louis,2,1,3,0,5,1,3
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
喵喵,1,0,0,0,1,0,1
小豬,4,2,1,1,5,3,1
阿仁,1,0,0,0,1,0,0
瘦子,3,3,4,4,7,7,4
小倫,1,1,2,2,3,3,1
阿堯,0,0,3,2,3,2,2
山豬,0,0,1,0,1,0,0
阿輔,2,1,2,2,4,3,2
酒空小宇,0,0,2,2,2,2,2
Sandy,1,0,0,0,1,0,0
小宓,1,0,0,0,1,0,1
慶文,1,1,0,0,1,1,0
