商品編號,商品名稱,商品價格,銷售量,商店名稱,分潤率,推廣分潤,商品連結,推廣連結
868804330,【AA飛鏢專賣店】Fit Point Plus 50入裝 [2BA],95,"4,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$0.95,https://shopee.tw/product/50984140/868804330,https://s.shopee.tw/5VQtBWKcVf
868833814,【AA飛鏢專賣店】L-style Premium Lippoint 30入裝 [2BA],133,959,AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/868833814,https://s.shopee.tw/6L00B3HRoq
903053372,【AA飛鏢專賣店】L-SHaft Lock Straight New Color 2020 塑膠/鎖桿(粗) 新顏色,133,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/903053372,https://s.shopee.tw/6VJQNMGoTt
25027147618,【AA飛鏢專賣店】TARGET K-FLEX 素色一體式鏢翼 [Standard],247,198,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/25027147618,https://s.shopee.tw/60N9mRIiUo
13393284902,【AA飛鏢專賣店】Fit Point Plus SHORT 50入裝 [2BA],95,320,AA darts Shop AsiA 飛鏢專賣店,1%,$0.95,https://shopee.tw/product/50984140/13393284902,https://s.shopee.tw/6AgZykI59r
28524447808,【AA飛鏢專賣店】【限定】K-FLEX TARGET JAPAN Logo [Standard],247,69,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/28524447808,https://s.shopee.tw/70FgyHEuT2
2514448015,【AA飛鏢專賣店】L-SHaft Lock Slim New Color 2020 塑膠/鎖桿(細) 新顏色,133,262,AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/2514448015,https://s.shopee.tw/7AZ7AaEH85
902648309,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Shape],142,503,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/902648309,https://s.shopee.tw/6fcqZfGB90
905309016,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Purple),161,190,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905309016,https://s.shopee.tw/6pwGlyFXo3
2425955632,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Yellow),161,37,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425955632,https://s.shopee.tw/7fVNlVCN7E
2709255132,【AA飛鏢專賣店】L-Flight EZ Combined 3入裝 素色鏢翼 [Standard],171,82,AA darts Shop AsiA 飛鏢專賣店,1%,$1.71,https://shopee.tw/product/50984140/2709255132,https://s.shopee.tw/7ponxoBjmH
2425916103,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Orange),161,38,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425916103,https://s.shopee.tw/7KsXMtDdnC
26038400230,【AA飛鏢專賣店】L-Flight EZ Dimple [Standard],171,4,AA darts Shop AsiA 飛鏢專賣店,1%,$1.71,https://shopee.tw/product/50984140/26038400230,https://s.shopee.tw/7VBxZCD0SF
41709116553,【AA飛鏢專賣店】Fit Flight (厚鏢翼) BURGER MONSTER 馬場善久 選手款 [Standard],180,2,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/41709116553,https://s.shopee.tw/8Kl4Yj9plQ
26771946818,【AA飛鏢專賣店】Fit Flight (厚鏢翼) 川上真奈 ver.4 選手款 [Shape],180,9,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/26771946818,https://s.shopee.tw/8V4Ul29CQT
24311767535,【AA飛鏢專賣店】尾翼 Fit Flight厚鏢翼 Japanese Pattern2 [Standard/Shape],180,6,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/24311767535,https://s.shopee.tw/808EA7B6RO
25267933019,【AA飛鏢專賣店】Fit Flight 厚鏢翼 The Modern [Standard/Shape],180,2,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/25267933019,https://s.shopee.tw/8AReMQAT6R
24481606486,【AA飛鏢專賣店】Fit Flight (厚鏢翼) 柴崎晋之介 Ver.2 選手款 [Shape],189,33,AA darts Shop AsiA 飛鏢專賣店,1%,$1.89,https://shopee.tw/product/50984140/24481606486,https://s.shopee.tw/900lLx7IPc
29274463910,【AA飛鏢專賣店】L-Flight x unicorn PRO 林桃加 ver.1 選手款 [Shape],209,2,AA darts Shop AsiA 飛鏢專賣店,1%,$2.09,https://shopee.tw/product/50984140/29274463910,https://s.shopee.tw/9AKBYG6f4f
10030669557,【AA飛鏢專賣店】L-Flight PRO KAMI 坂口優希恵 ver.1 MIX 選手款 [Shape],209,44,AA darts Shop AsiA 飛鏢專賣店,1%,$2.09,https://shopee.tw/product/50984140/10030669557,https://s.shopee.tw/8fNuxL8Z5a
28301605320,【AA飛鏢專賣店】Fit Flight AIR (薄鏢翼) 柴崎晋之介 Ver.2 選手款 [Shape],218,20,AA darts Shop AsiA 飛鏢專賣店,1%,$2.18,https://shopee.tw/product/50984140/28301605320,https://s.shopee.tw/8phL9e7vkd
29613894594,【AA飛鏢專賣店】TARGET K-FLEX NEON 素色一體式鏢翼 [Shape],247,97,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/29613894594,https://s.shopee.tw/9fGS9B4l3o
24443888804,【AA飛鏢專賣店】【限定】K-FLEX TARGET JAPAN Logo [Shape],247,64,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/24443888804,https://s.shopee.tw/9pZsLU47ir
20195963128,【AA飛鏢專賣店】TARGET K-FLEX RGB Series 一體式素色鏢翼 [Shape],247,231,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/20195963128,https://s.shopee.tw/9KdbkZ61jm
