商品編號,商品名稱,商品價格,銷售量,商店名稱,分潤率,推廣分潤,商品連結,推廣連結
868804330,【AA飛鏢專賣店】Fit Point Plus 50入裝 [2BA],95,"4,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$0.95,https://shopee.tw/product/50984140/868804330,https://s.shopee.tw/W2DI3PC5v
877015604,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Standard],142,104,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/877015604,https://s.shopee.tw/20r14oJU3E
902648309,【AA飛鏢專賣店】Fit Flight AIR（薄鏢翼）3入裝 素色鏢翼 [Shape],142,503,AA darts Shop AsiA 飛鏢專賣店,1%,$1.42,https://shopee.tw/product/50984140/902648309,https://s.shopee.tw/2BARH7IqiH
868833814,【AA飛鏢專賣店】L-style Premium Lippoint 30入裝 [2BA],133,960,AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/868833814,https://s.shopee.tw/2LTrTQIDNK
903053372,【AA飛鏢專賣店】L-SHaft Lock Straight New Color 2020 塑膠/鎖桿(粗) 新顏色,133,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.33,https://shopee.tw/product/50984140/903053372,https://s.shopee.tw/2VnHfjHa2N
16881530965,【AA飛鏢專賣店】L-style Premium Lippoint LONG 30入裝 [2BA],152,89,AA darts Shop AsiA 飛鏢專賣店,1%,$1.52,https://shopee.tw/product/50984140/16881530965,https://s.shopee.tw/1LbKHaM1PA
905252508,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (White),161,549,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905252508,https://s.shopee.tw/1VukTtLO4D
2425820787,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (White),161,238,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425820787,https://s.shopee.tw/1gEAgCKkjG
904946350,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Black),161,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/904946350,https://s.shopee.tw/1qXasVK7OJ
2425798231,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Black),161,427,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425798231,https://s.shopee.tw/3LMOfGEPLc
2420534054,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Clear),161,544,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2420534054,https://s.shopee.tw/3VforZDm0f
905256726,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Clear),161,"1,000+",AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905256726,https://s.shopee.tw/3fzF3sD8fi
2425955632,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Yellow),161,37,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425955632,https://s.shopee.tw/3qIfGBCVKl
2420454232,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Yellow),161,53,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2420454232,https://s.shopee.tw/2g6hs2GwhY
905270211,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Green),161,60,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905270211,https://s.shopee.tw/2qQ84LGJMb
2425937250,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Green),161,32,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425937250,https://s.shopee.tw/30jYGeFg1e
905305969,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Pink),161,178,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905305969,https://s.shopee.tw/3B2ySxF2gh
905463560,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Red),161,129,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905463560,https://s.shopee.tw/4frmFi9Ke0
2425916103,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Orange),161,38,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425916103,https://s.shopee.tw/4qBCS18hJ3
905301884,【AA飛鏢專賣店】Fit Shaft Gear Normal 塑膠/粗桿 (Orange),161,51,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/905301884,https://s.shopee.tw/50UceK83y6
2425898929,【AA飛鏢專賣店】Fit Shaft Gear Slim 塑膠/細桿 (Purple),161,86,AA darts Shop AsiA 飛鏢專賣店,1%,$1.61,https://shopee.tw/product/50984140/2425898929,https://s.shopee.tw/5Ao2qd7Qd9
2709255132,【AA飛鏢專賣店】L-Flight EZ Combined 3入裝 素色鏢翼 [Standard],171,82,AA darts Shop AsiA 飛鏢專賣店,1%,$1.71,https://shopee.tw/product/50984140/2709255132,https://s.shopee.tw/40c5SUBrzw
22041383321,"【AA飛鏢專賣店】尾翼 ""Fit Flight(厚鏢翼)"" 柴崎晋之介 選手款鏢翼 [Shape]",180,164,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/22041383321,https://s.shopee.tw/4AvVenBEez
47505872379,【AA飛鏢專賣店】Fit Flight (厚鏢翼) 荏隈秀一 ver.3 選手款 [Shape],180,0,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/47505872379,https://s.shopee.tw/4LEvr6AbK2
27362737182,【AA飛鏢專賣店】Fit Flight(厚鏢翼) 馬場善久 ver.3 選手款 [Shape],180,20,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/27362737182,https://s.shopee.tw/4VYM3P9xz5
28401605877,【AA飛鏢專賣店】Fit Flight (厚鏢翼) Cheeks [Standard/Shape],180,3,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/28401605877,https://s.shopee.tw/60N9qA4FwO
24635530101,【AA飛鏢專賣店】Fit Flight (厚鏢翼) 普波騰列 ver.4 選手款 [Shape],180,20,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/24635530101,https://s.shopee.tw/6Aga2T3cbR
45350619951,【AA飛鏢專賣店】Fit Flight (厚鏢翼) Terry Tan ver.1 選手款 [Shape/Rocket],180,1,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/45350619951,https://s.shopee.tw/6L00Em2zGU
43860036824,【AA飛鏢專賣店】Fit Flight (厚鏢翼) 岩崎奈美 ver.1 選手款 [Shape],180,0,AA darts Shop AsiA 飛鏢專賣店,1%,$1.80,https://shopee.tw/product/50984140/43860036824,https://s.shopee.tw/6VJQR52LvX
848467167,【AA飛鏢專賣店】Fit Flight（厚鏢翼）素色鏢翼 6入裝 [Shape],190,748,AA darts Shop AsiA 飛鏢專賣店,1%,$1.90,https://shopee.tw/product/50984140/848467167,https://s.shopee.tw/5L7T2w6nIK
897027059,【AA飛鏢專賣店】Fit Flight（厚鏢翼）素色鏢翼 6入裝 [Standard],190,143,AA darts Shop AsiA 飛鏢專賣店,1%,$1.90,https://shopee.tw/product/50984140/897027059,https://s.shopee.tw/5VQtFF69xN
45957258433,【AA飛鏢專賣店】Fit Flight (厚鏢翼) GLIMSTER JOKER 小丑 [Shape],209,0,AA darts Shop AsiA 飛鏢專賣店,1%,$2.09,https://shopee.tw/product/50984140/45957258433,https://s.shopee.tw/5fkJRY5WcQ
46455881127,【AA飛鏢專賣店】Fit Flight AIR (薄鏢翼) Tamrin Ng ver.2 選手款 [Shape],218,2,AA darts Shop AsiA 飛鏢專賣店,1%,$2.18,https://shopee.tw/product/50984140/46455881127,https://s.shopee.tw/5q3jdr4tHT
26989092022,【AA飛鏢專賣店】Fit Flight AIR (薄鏢翼) 岩崎奈美 ver.1 選手款 [Shape],218,1,AA darts Shop AsiA 飛鏢專賣店,1%,$2.18,https://shopee.tw/product/50984140/26989092022,https://s.shopee.tw/7KsXQbzBEm
28301605320,【AA飛鏢專賣店】Fit Flight AIR (薄鏢翼) 柴崎晋之介 Ver.2 選手款 [Shape],218,20,AA darts Shop AsiA 飛鏢專賣店,1%,$2.18,https://shopee.tw/product/50984140/28301605320,https://s.shopee.tw/7VBxcuyXtp
42472646551,【AA飛鏢專賣店】Fit Flight AIR (薄鏢翼) 藤田真子 ver.1 選手款 [Shape],218,5,AA darts Shop AsiA 飛鏢專賣店,1%,$2.18,https://shopee.tw/product/50984140/42472646551,https://s.shopee.tw/7fVNpDxuYs
15799518815,【AA飛鏢專賣店】TARGET K-FLEX 素色一體式尾翼 [Shape],247,831,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/15799518815,https://s.shopee.tw/7poo1WxHDv
29613894594,【AA飛鏢專賣店】TARGET K-FLEX NEON 素色一體式鏢翼 [Shape],247,97,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/29613894594,https://s.shopee.tw/6fcqdO1iai
25027147618,【AA飛鏢專賣店】TARGET K-FLEX 素色一體式鏢翼 [Standard],247,198,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/25027147618,https://s.shopee.tw/6pwGph15Fl
24443888804,【AA飛鏢專賣店】【限定】K-FLEX TARGET JAPAN Logo [Shape],247,64,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/24443888804,https://s.shopee.tw/70Fh200Ruo
20195963128,【AA飛鏢專賣店】TARGET K-FLEX RGB Series 一體式素色鏢翼 [Shape],247,231,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/20195963128,https://s.shopee.tw/7AZ7EIzoZr
28524447808,【AA飛鏢專賣店】【限定】K-FLEX TARGET JAPAN Logo [Standard],247,69,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/28524447808,https://s.shopee.tw/8fNv13u6XA
25877147858,【AA飛鏢專賣店】TARGET K-FLEX RGB Series 一體式素色鏢翼 [Standard],247,20,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/25877147858,https://s.shopee.tw/8phLDMtTCD
27963910077,【AA飛鏢專賣店】TARGET K-FLEX NEON 素色一體式鏢翼 [Standard],247,20,AA darts Shop AsiA 飛鏢專賣店,1%,$2.47,https://shopee.tw/product/50984140/27963910077,https://s.shopee.tw/900lPfsprG
45351194233,【AA飛鏢專賣店】TARGET CHARIS 2025 K-FLEX 梁雨恩 選手款 [Shape],313,26,AA darts Shop AsiA 飛鏢專賣店,1%,$3.13,https://shopee.tw/product/50984140/45351194233,https://s.shopee.tw/9AKBbysCWJ
29159081720,【AA飛鏢專賣店】TARGET RISING SUN K-FLEX 村松治樹 選手款 [Shape],313,73,AA darts Shop AsiA 飛鏢專賣店,1%,$3.13,https://shopee.tw/product/50984140/29159081720,https://s.shopee.tw/808EDpwdt6
27115891616,【AA飛鏢專賣店】TRiNiDAD CONDOR AXE 120 素色一體式鏢翼 [Shape],361,62,AA darts Shop AsiA 飛鏢專賣店,1%,$3.61,https://shopee.tw/product/50984140/27115891616,https://s.shopee.tw/8AReQ8w0Y9
22017102420,【AA飛鏢專賣店】TRiNiDAD CONDOR AXE Neon Series 素色一體式鏢翼 [Shape],361,99,AA darts Shop AsiA 飛鏢專賣店,1%,$3.61,https://shopee.tw/product/50984140/22017102420,https://s.shopee.tw/8Kl4cRvNDC
25543546477,【AA飛鏢專賣店】TRiNiDAD CONDOR AXE 素色一體式鏢翼 [Shape],361,57,AA darts Shop AsiA 飛鏢專賣店,1%,$3.61,https://shopee.tw/product/50984140/25543546477,https://s.shopee.tw/8V4UokujsF
