6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
小瑜,3,1,0,0,3,1,0
光頭政,2,0,3,1,5,1,1
強哥,2,1,3,2,5,3,1
小豪,4,1,3,1,7,2,3
柏暐,3,0,2,0,5,0,3
小楓,1,0,4,1,5,1,1
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
小芬,3,2,1,1,4,3,2
阿倫,3,3,4,3,7,6,4
光頭,2,1,3,1,5,2,5
阿淦,4,3,3,3,7,6,4
Eddie,3,3,0,0,3,3,3
蘇蘇,0,0,4,2,4,2,3
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Keira,3,2,3,1,6,3,4
小齊,4,3,4,3,8,6,3
猴猴,4,4,4,3,8,7,3
小飛,4,3,4,3,8,6,4
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
大瀚,1,1,1,1,2,2,0
小小宇,2,1,3,0,5,1,2
樂源小宇,3,0,3,1,6,1,2
阿嘎,3,1,2,1,5,2,3
Allen,2,0,4,1,6,1,3
小象,2,0,1,0,3,0,3
大頭,2,0,1,1,3,1,3
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
亮亮,3,1,2,1,5,2,5
宗燁,2,0,3,1,5,1,3
阿肥,4,3,3,2,7,5,4
小魚,3,1,3,2,6,3,4
阿朋,2,1,2,1,4,2,3
克林,1,1,2,1,3,2,2
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
萱萱,1,1,2,1,3,2,1
嘉宸,3,2,4,2,7,4,3
+0,4,2,2,2,6,4,0
阿斌,4,3,4,2,8,5,3
薇薇,2,0,1,0,3,0,1
貓咪,1,0,2,0,3,0,1
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
范姜姐,1,1,0,0,1,1,0
怪頭,3,2,1,0,4,2,2
馬克,4,2,2,1,6,3,1
信宏,3,0,1,1,4,1,0
小耿,1,0,4,3,5,3,0
david,1,0,4,2,5,2,0
Jason,1,1,2,1,3,2,1
浩子,1,1,1,1,2,2,1
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
joy,1,0,1,0,2,0,2
羿珩,3,2,2,1,5,3,4
宜竫,2,0,0,0,2,0,1
ben,2,1,0,0,2,1,1
蘇仔,2,2,4,2,6,4,6
小蘇,2,2,4,2,6,4,6
lucy,1,0,1,0,2,0,1
小安,0,0,2,1,2,1,2
紅閎,1,0,0,0,1,0,0
婠婠,1,1,0,0,1,1,1
小姜,0,0,1,0,1,0,1
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
肥肥,2,1,0,0,2,1,1
Tina,2,1,1,1,3,2,1
阿發,4,1,0,0,4,1,2
Stan,4,0,4,1,8,1,2
阿B,1,0,0,0,1,0,1
小琪,0,0,3,1,3,1,0
阿俊,0,0,2,2,2,2,1
大毛,0,0,3,0,3,0,0
小胖,2,1,2,0,4,1,1
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Sandy,1,0,1,0,2,0,2
虎哥,3,1,1,1,4,2,3
慶文,1,1,0,0,1,1,1
瘦子,2,2,3,2,5,4,5
小倫,2,2,2,2,4,4,2
阿堯,1,1,1,0,2,1,1
酒空小宇,1,1,1,1,2,2,1
羊羊,1,0,1,1,2,1,2
阿仁,1,1,1,0,2,1,0
山豬,1,1,1,0,2,1,0
阿輔,0,0,3,3,3,3,3
小宓,1,1,0,0,1,1,1
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
Linda,3,1,1,0,4,1,2
乳來,4,2,4,3,8,5,6
Ace,1,0,3,3,4,3,2
華華,4,1,4,4,8,5,5
小建,3,1,3,2,6,3,3
6/30,,,,,,,,
選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
念念,1,1,1,0,2,1,2
阿福,3,1,1,0,4,1,1
Terry,4,3,0,0,4,3,1
Kevin,3,2,1,0,4,2,1
Mo,0,0,4,1,4,1,2
小虎,2,1,2,0,4,1,1
小劉,1,1,3,1,4,2,3
阿翰,1,1,3,1,4,2,1
