遊戲編號,日期,客場,客場分數,vs,主場分數,主場,比賽地點,勝,敗,酒,和局,和局
G01,2026/1/28,傑克紅心,15,vs,20,Tonight29大三元,Jack,,,Tonight29大三元,傑克紅心,Tonight29大三元
G02,2026/1/28,Tonight29十三么,26,vs,10,傑克黑桃,Jack,Tonight29十三么,傑克黑桃,傑克黑桃,,
G03,2026/1/28,Tonight29大四喜,18,vs,18,逃生入口,逃生入口 Bar,Tonight29大四喜,逃生入口,逃生入口,,
G04,2026/1/28,軟飯硬吃,25,vs,11,Vivi嘻嘻隊,Vivi Bar,軟飯硬吃,Vivi嘻嘻隊,Vivi嘻嘻隊,,
G05,2026/1/28,Vivi哈哈隊,25,vs,11,酒空組,逃生入口 Bar,Vivi哈哈隊,酒空組,Vivi哈哈隊,,
G06,2026/1/28,人生揪亮,12,vs,24,人生揪難,酒窩海盜聯盟,人生揪難,人生揪亮,人生揪亮,,
G07,2/3,Tonight29十三么,26,vs,10,Tonight29大三元,Tonight29,Tonight29十三么,Tonight29大三元,Tonight29大三元,,
G08,2/3,傑克黑桃,14,vs,22,Tonight29大四喜,Tonight29,Tonight29大四喜,傑克黑桃,傑克黑桃,,
G09,2/3,人生揪難,13,vs,23,軟飯硬吃,樂源A.K.A兩杯,軟飯硬吃,人生揪難,軟飯硬吃,,
G10,2/3,酒空組,28,vs,8,人生揪亮,酒窩海盜聯盟,酒空組,人生揪亮,酒空組,,
G11,2/3,逃生入口,13,vs,23,Vivi嘻嘻隊,Vivi Bar,Vivi嘻嘻隊,逃生入口,Vivi嘻嘻隊,,
G12,2/3,Vivi哈哈隊,22,vs,14,傑克紅心,Jack,Vivi哈哈隊,傑克紅心,Vivi哈哈隊,,
G13,2/10,Tonight29大三元,13,vs,23,Tonight29大四喜,Tonight29,Tonight29大四喜,Tonight29大三元,Tonight29大四喜,,
G14,2/10,Tonight29十三么,19,vs,17,Vivi哈哈隊,Vivi Bar,Tonight29十三么,Vivi哈哈隊,Vivi哈哈隊,,
G15,2/10,人生揪難,15,vs,20,酒空組,藍白拖,,,酒空組,人生揪難,酒空組
G16,2/10,軟飯硬吃,23,vs,13,逃生入口,逃生入口 Bar,軟飯硬吃,逃生入口,逃生入口,,
G17,2/10,傑克紅心,12,vs,24,人生揪亮,酒窩海盜聯盟,人生揪亮,傑克紅心,人生揪亮,,
G18,2026/2/10,Vivi嘻嘻隊,23,vs,13,傑克黑桃,Jack,Vivi嘻嘻隊,傑克黑桃,傑克黑桃,,
G19,2026/2/24,人生揪亮,16,vs,20,Tonight29十三么,Tonight29,Tonight29十三么,人生揪亮,人生揪亮,,
G20,2026/2/24,Vivi嘻嘻隊,20,vs,15,Tonight29大三元,Tonight29,,,Vivi嘻嘻隊,Vivi嘻嘻隊,Tonight29大三元
G21,2026/2/24,Tonight29大四喜,10,vs,26,Vivi哈哈隊,Vivi Bar,Vivi哈哈隊,Tonight29大四喜,Vivi哈哈隊,,
G22,2026/2/24,軟飯硬吃,25,vs,11,傑克黑桃,Jack,軟飯硬吃,傑克黑桃,傑克黑桃,,
G23,2/24,逃生入口,17,vs,19,人生揪難,酒窩海盜聯盟,逃生入口,人生揪難,人生揪難,,
G24,2026/2/24,傑克紅心,5,vs,31,酒空組,藍白拖,酒空組,傑克紅心,酒空組,,
