日期,遊戲編號,隊伍,選手,01出賽,01勝場,CR出賽,CR勝場,合計出賽,合計勝場,先攻數
2026/1/28,G01,傑克紅心,念念,2,1,1,0,3,1,1
2026/1/28,G01,傑克紅心,老師,4,3,4,1,8,4,3
2026/1/28,G01,傑克紅心,小虎,4,2,3,1,7,3,2
2026/1/28,G01,傑克紅心,Kevin,3,2,3,2,6,4,1
2026/1/28,G01,傑克紅心,阿福,2,1,4,2,6,3,2
2026/1/28,G01,Tonight29大三元,貓咪,2,2,2,1,4,3,3
2026/1/28,G01,Tonight29大三元,嘉宸,2,0,3,3,5,3,2
2026/1/28,G01,Tonight29大三元,阿傑,3,2,4,3,7,5,4
2026/1/28,G01,Tonight29大三元,阿哲,2,0,2,1,4,1,3
2026/1/28,G01,Tonight29大三元,+0,1,0,1,0,2,0,2
2026/1/28,G01,Tonight29大三元,小杰,3,1,0,0,3,1,2
2026/1/28,G01,Tonight29大三元,小承,2,1,3,1,5,2,5
2026/1/28,G02,Tonight29十三么,Keira,2,1,2,2,4,3,2
2026/1/28,G02,Tonight29十三么,小齊,3,2,3,3,6,5,5
2026/1/28,G02,Tonight29十三么,杰少,2,1,1,1,3,2,1
2026/1/28,G02,Tonight29十三么,小飛,4,3,3,3,7,6,4
2026/1/28,G02,Tonight29十三么,猴猴,3,3,4,3,7,6,5
2026/1/28,G02,Tonight29十三么,朋朋,1,1,2,2,3,3,1
2026/1/28,G02,傑克黑桃,小琪,1,0,1,0,2,0,1
2026/1/28,G02,傑克黑桃,皓皓,3,1,0,0,3,1,2
2026/1/28,G02,傑克黑桃,阿發,3,2,0,0,3,2,2
2026/1/28,G02,傑克黑桃,Stan,2,1,3,0,5,1,2
2026/1/28,G02,傑克黑桃,小劉,2,0,1,0,3,0,1
2026/1/28,G02,傑克黑桃,阿B,2,0,1,0,3,0,1
2026/1/28,G02,傑克黑桃,小胖,1,0,3,0,4,0,1
2026/1/28,G02,傑克黑桃,大毛,0,0,4,0,4,0,1
2026/1/28,G02,傑克黑桃,阿翰,1,0,2,1,3,1,1
2026/1/28,G03,Tonight29大四喜,小雨,3,3,1,1,4,4,2
2026/1/28,G03,Tonight29大四喜,Eric,2,0,2,2,4,2,2
2026/1/28,G03,Tonight29大四喜,強哥,3,1,1,0,4,1,3
2026/1/28,G03,Tonight29大四喜,哲瑋,1,1,3,2,4,3,2
2026/1/28,G03,Tonight29大四喜,柏暐,3,1,4,3,7,4,4
2026/1/28,G03,Tonight29大四喜,小豪,3,2,4,1,7,3,5
2026/1/28,G03,逃生入口,Linda,2,1,1,0,3,1,2
2026/1/28,G03,逃生入口,乳來,2,1,2,2,4,3,1
2026/1/28,G03,逃生入口,Ace,1,1,1,0,2,1,1
2026/1/28,G03,逃生入口,華華,4,1,4,3,8,4,2
2026/1/28,G03,逃生入口,Jesse,1,1,1,0,2,1,1
2026/1/28,G03,逃生入口,小建,3,1,1,0,4,1,1
2026/1/28,G03,逃生入口,阿誠,0,0,4,1,4,1,3
2026/1/28,G03,逃生入口,小孟,2,1,1,0,3,1,1
2026/1/28,G04,軟飯硬吃,躲躲,2,2,1,1,3,3,3
2026/1/28,G04,軟飯硬吃,Allen,4,4,0,0,4,4,2
2026/1/28,G04,軟飯硬吃,阿翔,2,1,2,2,4,3,1
2026/1/28,G04,軟飯硬吃,阿嘎,3,2,0,0,3,2,1
2026/1/28,G04,軟飯硬吃,樂源小宇,2,2,2,0,4,2,0
